Year,Rank,Restaurant,Location,Country
2002,1,El Bulli,Roses,Spain
2002,2,Restaurant Gordon Ramsay,London,United Kingdom
2002,3,The French Laundry,Yountville,United States
2002,4,Rockpool,Sydney,Australia
2002,5,Spoon des Iles,Ile Maurice,Mauritius
2002,6,L'Auberge de l'Ill,Alsace,France
2002,7,1884,Godoy Cruz,Argentina
2002,8,The Ivy,London,United Kingdom
2002,9,Eigensinn Farm,Singhampton,Canada
2002,10,Tetsuya's,Sydney,Australia
2002,11,Charlie Trotter's,Chicago,United States
2002,12,Tangerine,Philadelphia,United States
2002,13,La Coupole,Paris,France
2002,14,Bukhara,New Delhi,India
2002,15,Vong,New York,United States
2002,16,L'Ambroisie,Paris,France
2002,17,Al Mahara,Dubai,United Arab Emirates
2002,18,Felix,Hong Kong,Hong Kong
2002,19,The Merchant House,Portsmouth,United Kingdom
2002,20,Operakällaren,Stockholm,Sweden
2002,21,Gramercy Tavern,New York,United States
2002,22,Sukiyabashi Jiro,Tokyo,Japan
2002,23,Little Washington,Washington,United States
2002,24,Alle Testiere,Venice,Italy
2002,25,The Lone Star,Mount Standfast,Barbados
2002,26,Chez Vroney,Zermatt,Switzerland
2002,27,Flower Drum,Melbourne,Australia
2002,28,The Three Chimneys,Isle of Skye,United Kingdom
2002,29,Chez Panisse,Berkeley,United States
2002,30,Le Jardin des Sens,Montpellier,France
2002,31,River Café,London,United Kingdom
2002,32,Kronenhalle,Zürich,Switzerland
2002,33,Il Pescatore,Orlando,United States
2002,34,Nepenthe,Big Sur,United States
2002,35,The Spa,Lamai Beach,Thailand
2002,36,Hotel de Paris,Monaco,Monaco
2002,37,Moulin de Mougin,Mougins,France
2002,38,Ginza Sushiko,Beverly Hills,United States
2002,39,Changa,Istanbul,Türkiye
2002,40,Michel Bras,Laguiole,France
2002,41,Le Quartier Français,Franschhoek,South Africa
2002,42,Roundwood House,County Laois,Ireland
2002,43,The Supper Club,Amsterdam,Netherlands
2002,44,Blue Lagoon,Grindavik,Iceland
2002,45,Bayona,New Orleans,United States
2002,46,The Grundel,Budapest,Hungary
2002,47,Carnivore,Nairobi,Kenya
2002,48,Bagatelle,Oslo,Norway
2002,49,Susar,Toronto,Canada
2002,50,Tantris,München,Germany
2003,1,The French Laundry,Yountville,United States
2003,2,El Bulli,Roses,Spain
2003,3,Le Louis XV,Monaco,Monaco
2003,4,Jean Georges,New York,United States
2003,5,Restaurant Gordon Ramsay,London,United Kingdom
2003,6,Arpège,Paris,France
2003,7,Comme Chez Soi,Brussels,Belgium
2003,8,Rockpool,Sydney,Australia
2003,9,L'Ambroisie,Paris,France
2003,10,Gramercy Tavern,New York,United States
2003,11,Michel Bras,Laguiole,France
2003,12,Chez Panisse,Berkeley,United States
2003,13,Pierre Gagnaire,Paris,France
2003,14,The Merchant House,London,United Kingdom
2003,15,Bocca,Tallinn,Estonia
2003,16,Sukiyabashi Jiro,Tokyo,Japan
2003,17,Felix,Hong Kong,Hong Kong
2003,18,L'Auberge de l'Ill,Illhaeusern,France
2003,19,Gidleigh Park,Changford,United Kingdom
2003,20,Bukhara,New Delhi,India
2003,21,Paul Boscoe,France,France
2003,22,De Karmeliet,Bruges,Belgium
2003,23,Al Mahara,Dubai,United Arab Emirates
2003,24,Vincent Guerithault on Camelback,Phoenix,United States
2003,25,Thorton's,Dublin,Ireland
2003,26,Nobu,London,United Kingdom
2003,27,Operakällaren,Stockholm,Sweden
2003,28,Eigensinn Farm,Singhampton,Canada
2003,29,Le Manoir aux Quat'Saison,Oxford,United Kingdom
2003,30,Guy Savoy,Paris,France
2003,31,The Ivy,London,United Kingdom
2003,32,The Three Chimneys,Isle of Skye,United Kingdom
2003,33,Petrus,London,United Kingdom
2003,34,Daniel,New York,United States
2003,35,Dal Pescatore,Canneto sull'Oglio,Italy
2003,36,Bagatelle,Oslo,Norway
2003,37,Tetsuya's,Sydney,Australia
2003,38,Quattro Passi,Massa Lubrense,Italy
2003,39,Charlie Trotter's,Chicago,United States
2003,40,Arzak,San Sebastian,Spain
2003,41,Flower Drum,Melbourne,Australia
2003,42,The Cliff,Durants,Barbados
2003,43,The Square,London,United Kingdom
2003,44,Enoteca Pinchiorri,Florence,Italy
2003,45,1884,Godoy Cruz,Argentina
2003,46,Checchino Dal 1887,Rome,Italy
2003,47,River Café,London,United Kingdom
2003,48,New York Grill,Tokyo,Japan
2003,49,St John,London,United Kingdom
